MangaID,Genre,Author
1,"Mystery,Drama,Psychological,Seinen","Urasawa, Naoki (Story & Art)"
2,"Action,Adventure,Demons,Drama,Fantasy,Horror,Supernatural,Military,Psychological,Seinen","Miura, Kentarou (Story & Art)"
3,"Mystery,Drama,Historical,Sci-Fi,Psychological,Seinen","Urasawa, Naoki (Story & Art)"
4,"Drama,Sci-Fi,Slice of Life,Seinen","Ashinano, Hitoshi (Story & Art)"
7,"Action,Comedy,Drama,Shounen,Sports","Morikawa, George (Story & Art)"
8,"Comedy,Drama,Fantasy,Magic,Music,Romance,Shoujo,Supernatural","Tanemura, Arina (Story & Art)"
9,"Action,Adventure,Drama,Fantasy,Shounen",CLAMP (Story & Art)
10,"Comedy,Mystery,Drama,Magic,Supernatural,Seinen",CLAMP (Story & Art)
11,"Action,Adventure,Martial Arts,Shounen,Super Power","Kishimoto, Masashi (Story & Art)"
12,"Action,Adventure,Shounen,Super Power,Supernatural","Kubo, Tite (Story & Art)"
13,"Action,Adventure,Comedy,Fantasy,Shounen,Super Power","Oda, Eiichiro (Story & Art)"
14,"Adventure,Comedy,Fantasy,Shounen","Mashima, Hiro (Story & Art)"
15,"Action,Adventure,Comedy,Ecchi,Fantasy,Magic,Martial Arts,Romance,School,Shounen,Harem,Supernatural","Akamatsu, Ken (Story & Art)"
16,"Comedy,Ecchi,Romance,Shounen,Harem","Akamatsu, Ken (Story & Art)"
17,"Comedy,Drama,Romance,School,Shoujo","Tsuda, Masami (Story & Art)"
18,"Comedy,Drama,Romance,School,Shoujo,Slice of Life","Obana, Miho (Story & Art)"
19,"Action,Comedy,Mystery,Drama,Ecchi,Shounen,Supernatural","Kibayashi, Shin (Story), Ayamine, Rando (Art)"
20,"Comedy,Drama,Game,Shounen,Supernatural","Obata, Takeshi (Art), Hotta, Yumi (Story)"
21,"Mystery,Drama,Shounen,Supernatural,Psychological","Obata, Takeshi (Art), Ohba, Tsugumi (Story)"
22,"Action,Drama,Historical,Samurai,Shounen","Watsuki, Nobuhiro (Story & Art)"
23,"Action,Comedy,Ecchi,Martial Arts,Romance,School,Shounen,Harem,Gender Bender","Takahashi, Rumiko (Story & Art)"
24,"Action,Adventure,Demons,Shounen,Super Power","Hoshino, Katsura (Story & Art)"
25,"Action,Adventure,Comedy,Drama,Shounen,Military","Arakawa, Hiromu (Story & Art)"
26,"Action,Adventure,Fantasy,Shounen,Super Power","Togashi, Yoshihiro (Story & Art)"
27,"Action,Drama,Fantasy,Shoujo,Super Power,Supernatural,Psychological",CLAMP (Story & Art)
28,"Drama,Music,Romance,Shoujo,Slice of Life","Yazawa, Ai (Story & Art)"
29,"Drama,Romance,School,Josei","Yazawa, Ai (Story & Art)"
30,"Comedy,Drama,Romance,School,Shoujo,Harem,Gender Bender","Hatori, Bisco (Story & Art)"
31,"Comedy,Drama,Romance,School,Shoujo","Nakahara, Aya (Story & Art)"
32,"Action,Adventure,Comedy,Drama,Fantasy,Shounen,Supernatural","Kishimoto, Seishi (Story & Art)"
33,"Comedy,Drama,Fantasy,Magic,Romance,Shounen",Koge-Donbo* (Story & Art)
34,"Comedy,Fantasy,Sci-Fi,Shounen","Koge-Donbo* (Story & Art), Ootsuki, Yuuko (Story & Art), Fujieda, Miyabi (Story & Art), Kiriga, Yuki (Story & Art), Minamoto, Hisanari (Story & Art), Morisaki, Kurumi (Story & Art), Nekoma, Kotomi (Story & Art)"
35,"Comedy,Drama,Fantasy,Magic,Romance,Shoujo",Koge-Donbo* (Story & Art)
36,"Adventure,Comedy,Drama,Fantasy,Romance,School,Shoujo,Supernatural","Tanemura, Arina (Story & Art)"
37,"Comedy,Drama,Romance,School,Shoujo","Tanemura, Arina (Story & Art)"
38,"Adventure,Fantasy,Shounen","Mukai, Natsumi (Story & Art)"
39,"Action,Comedy,Shounen,Supernatural","Kubo, Tite (Story & Art)"
40,"Action,Adventure,Comedy,Fantasy,Shounen","Yabuki, Kentarou (Story & Art)"
41,"Action,Comedy,Fantasy,School,Shounen,Supernatural","Watsuki, Nobuhiro (Story & Art)"
42,"Action,Adventure,Comedy,Martial Arts,Sci-Fi,Shounen,Super Power","Toriyama, Akira (Story & Art)"
43,"Action,Comedy,Shounen,Sports","Inagaki, Riichiro (Story), Murata, Yusuke (Art)"
44,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen","Sorachi, Hideaki (Story & Art)"
45,"Comedy,Drama,Ecchi,Romance,School,Shounen,Harem","Kawashita, Mizuki (Story & Art)"
46,"Action,Mystery,Shounen","Horibe, Takeo (Story & Art)"
47,"Action,Comedy,School,Shounen,Super Power","Amano, Akira (Story & Art)"
48,"Comedy,Ecchi,Romance,School,Shounen,Gender Bender","Kano, Yasuhiro (Story & Art)"
49,"Action,School,Shounen,Sports","Konomi, Takeshi (Story & Art)"
50,"Action,Adventure,Comedy,Shounen,Super Power,Supernatural","Takei, Hiroyuki (Story & Art)"
51,"Comedy,Drama,School,Shounen,Sports","Inoue, Takehiko (Story & Art)"
52,"Drama,Shounen,Sports","Higuchi, Daisuke (Story & Art)"
53,"Action,Comedy,Drama,Shounen,Supernatural","Togashi, Yoshihiro (Story & Art)"
54,"Action,Adventure,Comedy,Mystery,Drama,Fantasy,Game,Historical,School,Shounen,Supernatural","Takahashi, Kazuki (Story & Art)"
55,"Comedy,Drama,Romance,School,Shoujo","Maki, Youko (Story & Art)"
56,"Comedy,Romance,School,Shoujo","Mizusawa, Megumi (Story & Art)"
57,"Comedy,Drama,Romance,School,Shoujo,Harem,Gender Bender","Nakajo, Hisaya (Story & Art)"
58,"Comedy,Drama,Romance,School,Shoujo,Slice of Life,Gender Bender",Emura (Story & Art)
59,"Action,Adventure,Comedy,Fantasy,Shounen","Nakamura, Shungiku (Story & Art)"
61,"Drama,Yaoi,Psychological","Takakura, Row (Story & Art)"
62,"Drama,Romance,School,Shoujo","Asahina, Yuuya (Story & Art)"
63,"Drama,Music,Romance,Shoujo","Akaishi, Michiyo (Story & Art)"
64,"Mystery,School,Shoujo,Supernatural","Enomoto, Chizuru (Story & Art)"
65,"Drama,Romance,Shoujo","Shinjou, Mayu (Story & Art), Minami, Kanan (Story & Art), Shigano, Iori (Story & Art), Ayukawa, Mio (Story & Art), Kousaka, Yuuka (Story & Art), Sakurai, Miya (Story & Art), Masuzaki, Yoshino (Story & Art)"
66,"Comedy,Shoujo Ai,Shounen","Koga, Ryoichi (Story & Art)"
67,"Drama,Sci-Fi,Space,Seinen","Hoshino, Yukinobu (Story & Art)"
